Model selection results for subset: 64b158d7c0f8481b7e3dd27821ba8fba
Subset alignment stored here: ./analysis/phylofiles/64b158d7c0f8481b7e3dd27821ba8fba.phy
This subset contains the following data_blocks: COX2, NAD3, NAD4
Number of columns in subset: 1309
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
MTZOA+I+G+F     | 21              | -34151.0        | 68344.8          | 68344.1         | 68452.8        
MTZOA+G+F       | 20              | -34155.7        | 68352.1          | 68351.4         | 68454.9        
JTT+I+G+F       | 21              | -34212.1        | 68467.0          | 68466.2         | 68575.0        
LG+I+G+F        | 21              | -34213.6        | 68469.9          | 68469.2         | 68577.9        
JTTDCMUT+I+G+F  | 21              | -34215.8        | 68474.3          | 68473.5         | 68582.3        
JTT+G+F         | 20              | -34217.4        | 68475.4          | 68474.8         | 68578.3        
LG+G+F          | 20              | -34217.4        | 68475.5          | 68474.9         | 68578.4        
JTTDCMUT+G+F    | 20              | -34220.8        | 68482.3          | 68481.7         | 68585.2        
CPREV+I+G+F     | 21              | -34254.0        | 68550.7          | 68550.0         | 68658.7        
CPREV+G+F       | 20              | -34257.0        | 68554.7          | 68554.0         | 68657.5        
WAG+I+G+F       | 21              | -34286.3        | 68615.4          | 68614.6         | 68723.4        
WAG+G+F         | 20              | -34288.9        | 68618.4          | 68617.7         | 68721.3        
VT+I+G+F        | 21              | -34335.3        | 68713.2          | 68712.5         | 68821.2        
VT+G+F          | 20              | -34338.5        | 68717.6          | 68717.0         | 68820.5        
MTREV+I+G+F     | 21              | -34340.7        | 68724.0          | 68723.3         | 68832.0        
MTREV+G+F       | 20              | -34344.6        | 68729.8          | 68729.1         | 68832.7        
RTREV+I+G+F     | 21              | -34424.9        | 68892.6          | 68891.9         | 69000.6        
MTART+I+G+F     | 21              | -34426.7        | 68896.1          | 68895.4         | 69004.1        
RTREV+G+F       | 20              | -34429.6        | 68899.9          | 68899.2         | 69002.8        
MTART+G+F       | 20              | -34431.6        | 68903.9          | 68903.3         | 69006.8        
DAYHOFF+I+G+F   | 21              | -34440.8        | 68924.4          | 68923.7         | 69032.4        
DAYHOFF+G+F     | 20              | -34445.0        | 68930.7          | 68930.1         | 69033.6        
DCMUT+I+G+F     | 21              | -34444.2        | 68931.2          | 68930.4         | 69039.2        
DCMUT+G+F       | 20              | -34448.4        | 68937.5          | 68936.9         | 69040.4        
MTZOA+I+G       | 2               | -34541.3        | 69086.6          | 69086.6         | 69097.0        
MTZOA+G         | 1               | -34545.5        | 69093.0          | 69093.0         | 69098.2        
BLOSUM62+I+G+F  | 21              | -34553.9        | 69150.5          | 69149.8         | 69258.5        
BLOSUM62+G+F    | 20              | -34555.7        | 69152.1          | 69151.5         | 69255.0        
PMB+I+G+F       | 21              | -34589.6        | 69221.8          | 69221.1         | 69329.8        
PMB+G+F         | 20              | -34591.1        | 69222.9          | 69222.3         | 69325.8        
FLU+I+G+F       | 21              | -34603.2        | 69249.1          | 69248.4         | 69357.1        
