Model selection results for subset: 85df74e58e46141812aed25791f7cae3
Subset alignment stored here: ./analysis/phylofiles/85df74e58e46141812aed25791f7cae3.phy
This subset contains the following data_blocks: ATP9
Number of columns in subset: 80
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG4X            | 6               | -775.638        | 1564.43          | 1563.28         | 1577.57        
MTZOA+G         | 1               | -788.028        | 1578.11          | 1578.06         | 1580.44        
MTZOA+I+G       | 2               | -788.028        | 1580.21          | 1580.06         | 1584.82        
LG4M+G          | 1               | -792.617        | 1587.28          | 1587.23         | 1589.62        
CPREV+G         | 1               | -798.403        | 1598.86          | 1598.81         | 1601.19        
LG+G            | 1               | -798.947        | 1599.95          | 1599.89         | 1602.28        
CPREV+I+G       | 2               | -798.403        | 1600.96          | 1600.81         | 1605.57        
LG+I+G          | 2               | -798.948        | 1602.05          | 1601.9          | 1606.66        
MTZOA           | 0               | -801.032        | 1602.06          | 1602.06         | 1602.06        
MTZOA+G+F       | 20              | -774.578        | 1603.39          | 1589.16         | 1636.8         
JTTDCMUT+G+F    | 20              | -774.864        | 1603.96          | 1589.73         | 1637.37        
LG+G+F          | 20              | -774.925        | 1604.09          | 1589.85         | 1637.49        
JTT+G+F         | 20              | -775.353        | 1604.94          | 1590.71         | 1638.35        
MTART+G         | 1               | -801.799        | 1605.65          | 1605.6          | 1607.98        
JTTDCMUT+G      | 1               | -802.496        | 1607.04          | 1606.99         | 1609.37        
MTZOA+I+G+F     | 21              | -774.579        | 1607.09          | 1591.16         | 1641.18        
JTTDCMUT+I+G+F  | 21              | -774.864        | 1607.66          | 1591.73         | 1641.75        
JTT+G           | 1               | -802.844        | 1607.74          | 1607.69         | 1610.07        
MTART+I+G       | 2               | -801.799        | 1607.75          | 1607.6          | 1612.36        
LG+I+G+F        | 21              | -774.925        | 1607.78          | 1591.85         | 1641.87        
CPREV+G+F       | 20              | -776.899        | 1608.03          | 1593.8          | 1641.44        
JTT+I+G+F       | 21              | -775.353        | 1608.64          | 1592.71         | 1642.73        
JTTDCMUT+I+G    | 2               | -802.496        | 1609.15          | 1608.99         | 1613.76        
JTT+I+G         | 2               | -802.844        | 1609.84          | 1609.69         | 1614.45        
RTREV+G+F       | 20              | -777.834        | 1609.9           | 1595.67         | 1643.31        
DAYHOFF+G+F     | 20              | -777.84         | 1609.92          | 1595.68         | 1643.32        
DCMUT+G+F       | 20              | -777.996        | 1610.23          | 1595.99         | 1643.63        
CPREV+I+G+F     | 21              | -776.899        | 1611.73          | 1595.8          | 1645.82        
DAYHOFF+G       | 1               | -805.293        | 1612.64          | 1612.59         | 1614.97        
WAG+G           | 1               | -805.315        | 1612.68          | 1612.63         | 1615.01        
DCMUT+G         | 1               | -805.432        | 1612.92          | 1612.86         | 1615.25        
MTART+G+F       | 20              | -779.571        | 1613.38          | 1599.14         | 1646.78        
RTREV+I+G+F     | 21              | -777.834        | 1613.6           | 1597.67         | 1647.69        
DAYHOFF+I+G+F   | 21              | -777.84         | 1613.61          | 1597.68         | 1647.7         
WAG+G+F         | 20              | -779.694        | 1613.62          | 1599.39         | 1647.03        
DCMUT+I+G+F     | 21              | -777.996        | 1613.92          | 1597.99         | 1648.01        
DAYHOFF+I+G     | 2               | -805.294        | 1614.74          | 1614.59         | 1619.35        
WAG+I+G         | 2               | -805.316        | 1614.79          | 1614.63         | 1619.4         
DCMUT+I+G       | 2               | -805.433        | 1615.02          | 1614.87         | 1619.63        
MTART+I+G+F     | 21              | -779.572        | 1617.07          | 1601.14         | 1651.17        
WAG+I+G+F       | 21              | -779.694        | 1617.32          | 1601.39         | 1651.41        
MTREV+G+F       | 20              | -781.959        | 1618.16          | 1603.92         | 1651.56        
MTREV+G         | 1               | -808.3          | 1618.65          | 1618.6          | 1620.98        
CPREV           | 0               | -809.57         | 1619.14          | 1619.14         | 1619.14        
LG              | 0               | -809.718        | 1619.44          | 1619.44         | 1619.44        
VT+G            | 1               | -809.098        | 1620.25          | 1620.2          | 1622.58        
MTREV+I+G       | 2               | -808.3          | 1620.76          | 1620.6          | 1625.36        
VT+G+F          | 20              | -783.44         | 1621.12          | 1606.88         | 1654.52        
MTREV+I+G+F     | 21              | -781.96         | 1621.85          | 1605.92         | 1655.94        
VT+I+G          | 2               | -809.098        | 1622.35          | 1622.2          | 1626.96        
VT+I+G+F        | 21              | -783.441        | 1624.81          | 1608.88         | 1658.9         
HIVB+G+F        | 20              | -786.229        | 1626.7           | 1612.46         | 1660.1         
JTTDCMUT        | 0               | -813.371        | 1626.74          | 1626.74         | 1626.74        
RTREV+G         | 1               | -812.578        | 1627.21          | 1627.16         | 1629.54        
BLOSUM62+G      | 1               | -812.597        | 1627.25          | 1627.19         | 1629.58        
FLU+G+F         | 20              | -786.531        | 1627.3           | 1613.06         | 1660.7         
JTT             | 0               | -813.894        | 1627.79          | 1627.79         | 1627.79        
