Model selection results for subset: 8ad3c0e0056fabfd9b1a73ea25ca632f
Subset alignment stored here: ./analysis/phylofiles/8ad3c0e0056fabfd9b1a73ea25ca632f.phy
This subset contains the following data_blocks: COX1
Number of columns in subset: 660
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
CPREV+G+F       | 20              | -12484.4        | 25010.2          | 25008.9         | 25098.7        
CPREV+I+G+F     | 21              | -12483.6        | 25010.6          | 25009.2         | 25103.5        
MTZOA+G         | 1               | -12520.4        | 25042.8          | 25042.8         | 25047.2        
MTZOA+I+G       | 2               | -12520.4        | 25044.7          | 25044.7         | 25053.7        
LG4X            | 6               | -12519.4        | 25050.9          | 25050.8         | 25077.8        
LG+G+F          | 20              | -12504.8        | 25050.9          | 25049.6         | 25139.5        
LG+I+G+F        | 21              | -12503.9        | 25051.2          | 25049.7         | 25144.0        
MTZOA+G+F       | 20              | -12511.8        | 25064.8          | 25063.5         | 25153.4        
MTZOA+I+G+F     | 21              | -12511.8        | 25067.0          | 25065.5         | 25159.9        
WAG+I+G+F       | 21              | -12540.3        | 25124.1          | 25122.6         | 25217.0        
WAG+G+F         | 20              | -12542.1        | 25125.5          | 25124.2         | 25214.0        
LG4M+G          | 1               | -12574.4        | 25150.9          | 25150.9         | 25155.4        
RTREV+I+G+F     | 21              | -12560.7        | 25164.9          | 25163.5         | 25257.8        
RTREV+G+F       | 20              | -12561.9        | 25165.2          | 25163.9         | 25253.7        
JTT+G+F         | 20              | -12568.3        | 25177.9          | 25176.6         | 25266.4        
JTT+I+G+F       | 21              | -12567.8        | 25179.0          | 25177.5         | 25271.9        
JTTDCMUT+G+F    | 20              | -12569.4        | 25180.2          | 25178.9         | 25268.7        
JTTDCMUT+I+G+F  | 21              | -12568.9        | 25181.3          | 25179.9         | 25274.2        
VT+I+G+F        | 21              | -12585.2        | 25213.8          | 25212.4         | 25306.7        
VT+G+F          | 20              | -12587.0        | 25215.3          | 25214.0         | 25303.8        
LG+I+G          | 2               | -12618.5        | 25241.0          | 25241.0         | 25250.0        
LG+G            | 1               | -12620.0        | 25241.9          | 25241.9         | 25246.4        
CPREV+I+G       | 2               | -12622.2        | 25248.4          | 25248.4         | 25257.4        
CPREV+G         | 1               | -12624.0        | 25250.0          | 25249.9         | 25254.4        
DAYHOFF+G+F     | 20              | -12609.2        | 25259.7          | 25258.3         | 25348.2        
DAYHOFF+I+G+F   | 21              | -12608.3        | 25260.1          | 25258.7         | 25353.0        
DCMUT+G+F       | 20              | -12610.1        | 25261.6          | 25260.2         | 25350.1        
DCMUT+I+G+F     | 21              | -12609.3        | 25262.0          | 25260.5         | 25354.9        
MTREV+G+F       | 20              | -12625.4        | 25292.1          | 25290.8         | 25380.7        
MTREV+I+G+F     | 21              | -12625.4        | 25294.3          | 25292.8         | 25387.2        
