Model selection results for subset: 94b539cedb675bd684ae7b443bf21dbd
Subset alignment stored here: ./analysis/phylofiles/94b539cedb675bd684ae7b443bf21dbd.phy
This subset contains the following data_blocks: ND4L, COX3
Number of columns in subset: 460
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
CPREV+I+G+F     | 21              | -11943.3        | 23930.7          | 23928.6         | 24015.3        
CPREV+G+F       | 20              | -11949.4        | 23940.7          | 23938.8         | 24021.4        
MTZOA+I+G+F     | 21              | -12006.5        | 24057.0          | 24054.9         | 24141.7        
MTZOA+G+F       | 20              | -12010.0        | 24061.9          | 24059.9         | 24142.6        
WAG+I+G+F       | 21              | -12024.6        | 24093.4          | 24091.3         | 24178.0        
LG+I+G+F        | 21              | -12024.9        | 24093.9          | 24091.8         | 24178.6        
LG+G+F          | 20              | -12028.7        | 24099.3          | 24097.4         | 24180.0        
WAG+G+F         | 20              | -12030.7        | 24103.3          | 24101.3         | 24184.0        
JTTDCMUT+I+G+F  | 21              | -12034.0        | 24112.1          | 24110.0         | 24196.8        
JTT+I+G+F       | 21              | -12034.2        | 24112.6          | 24110.5         | 24197.2        
JTT+G+F         | 20              | -12038.5        | 24118.9          | 24116.9         | 24199.6        
JTTDCMUT+G+F    | 20              | -12038.5        | 24118.9          | 24117.0         | 24199.6        
VT+I+G+F        | 21              | -12049.9        | 24144.0          | 24141.9         | 24228.6        
VT+G+F          | 20              | -12055.8        | 24153.4          | 24151.5         | 24234.1        
MTZOA+I+G       | 2               | -12082.5        | 24169.0          | 24168.9         | 24177.2        
MTZOA+G         | 1               | -12085.1        | 24172.2          | 24172.2         | 24176.3        
DAYHOFF+I+G+F   | 21              | -12082.2        | 24208.5          | 24206.4         | 24293.2        
DCMUT+I+G+F     | 21              | -12082.6        | 24209.2          | 24207.1         | 24293.9        
DAYHOFF+G+F     | 20              | -12086.2        | 24214.3          | 24212.4         | 24295.0        
DCMUT+G+F       | 20              | -12086.6        | 24215.1          | 24213.2         | 24295.8        
RTREV+I+G+F     | 21              | -12088.9        | 24221.9          | 24219.8         | 24306.5        
RTREV+G+F       | 20              | -12092.1        | 24226.2          | 24224.2         | 24306.9        
MTREV+I+G+F     | 21              | -12102.4        | 24248.8          | 24246.7         | 24333.5        
PMB+I+G+F       | 21              | -12104.3        | 24252.7          | 24250.6         | 24337.4        
MTART+I+G+F     | 21              | -12104.8        | 24253.8          | 24251.7         | 24338.5        
MTREV+G+F       | 20              | -12106.7        | 24255.4          | 24253.5         | 24336.1        
MTART+G+F       | 20              | -12107.7        | 24257.3          | 24255.4         | 24338.0        
BLOSUM62+I+G+F  | 21              | -12108.0        | 24260.2          | 24258.1         | 24344.8        
PMB+G+F         | 20              | -12110.9        | 24263.8          | 24261.8         | 24344.5        
CPREV+I+G       | 2               | -12130.3        | 24264.5          | 24264.5         | 24272.8        
BLOSUM62+G+F    | 20              | -12114.2        | 24270.3          | 24268.4         | 24351.0        
CPREV+G         | 1               | -12137.6        | 24277.3          | 24277.3         | 24281.4        
FLU+I+G+F       | 21              | -12182.1        | 24408.3          | 24406.1         | 24492.9        
FLU+G+F         | 20              | -12184.4        | 24410.6          | 24408.7         | 24491.3        
MTART+I+G       | 2               | -12209.5        | 24423.1          | 24423.1         | 24431.3        
LG+I+G          | 2               | -12211.2        | 24426.5          | 24426.4         | 24434.7        
MTART+G         | 1               | -12212.5        | 24427.0          | 24427.0         | 24431.2        
LG+G            | 1               | -12216.7        | 24435.4          | 24435.3         | 24439.5        
HIVB+I+G+F      | 21              | -12220.2        | 24484.5          | 24482.4         | 24569.2        
HIVB+G+F        | 20              | -12225.1        | 24492.1          | 24490.2         | 24572.8        
LG4X            | 6               | -12258.8        | 24529.7          | 24529.5         | 24554.3        
LG4M+G          | 1               | -12274.8        | 24551.5          | 24551.5         | 24555.7        
PMB+I+G         | 2               | -12291.3        | 24586.6          | 24586.6         | 24594.9        
PMB+G           | 1               | -12298.5        | 24599.1          | 24599.1         | 24603.2        
BLOSUM62+I+G    | 2               | -12304.1        | 24612.2          | 24612.1         | 24620.4        
VT+I+G          | 2               | -12309.8        | 24623.7          | 24623.7         | 24631.9        
BLOSUM62+G      | 1               | -12311.0        | 24624.0          | 24624.0         | 24628.2        
VT+G            | 1               | -12316.4        | 24634.7          | 24634.7         | 24638.9        
JTT+I+G         | 2               | -12325.2        | 24654.3          | 24654.3         | 24662.6        
JTT+G           | 1               | -12331.3        | 24664.7          | 24664.6         | 24668.8        
JTTDCMUT+I+G    | 2               | -12330.6        | 24665.2          | 24665.1         | 24673.4        
JTTDCMUT+G      | 1               | -12337.0        | 24675.9          | 24675.9         | 24680.1        
WAG+I+G         | 2               | -12336.5        | 24677.1          | 24677.1         | 24685.3        
WAG+G           | 1               | -12343.6        | 24689.3          | 24689.3         | 24693.4        
MTREV+I+G       | 2               | -12366.6        | 24737.2          | 24737.2         | 24745.4        
MTREV+G         | 1               | -12371.9        | 24745.8          | 24745.7         | 24749.9        
RTREV+I+G       | 2               | -12383.2        | 24770.4          | 24770.4         | 24778.6        
RTREV+G         | 1               | -12388.6        | 24779.2          | 24779.2         | 24783.3        
MTMAM+I+G+F     | 21              | -12399.7        | 24843.6          | 24841.5         | 24928.2        
FLU+I+G         | 2               | -12421.1        | 24846.1          | 24846.1         | 24854.4        
FLU+G           | 1               | -12425.3        | 24852.5          | 24852.5         | 24856.7        
MTMAM+G+F       | 20              | -12406.0        | 24853.8          | 24851.9         | 24934.5        
HIVB+I+G        | 2               | -12482.0        | 24968.1          | 24968.1         | 24976.4        
HIVB+G          | 1               | -12488.2        | 24978.4          | 24978.4         | 24982.5        
DAYHOFF+I+G     | 2               | -12518.3        | 25040.7          | 25040.6         | 25048.9        
DCMUT+I+G       | 2               | -12518.4        | 25040.9          | 25040.9         | 25049.1        
STMTREV+I+G+F   | 21              | -12499.0        | 25042.2          | 25040.1         | 25126.8        
DAYHOFF+G       | 1               | -12523.8        | 25049.7          | 25049.7         | 25053.8        
DCMUT+G         | 1               | -12523.9        | 25049.9          | 25049.9         | 25054.0        
STMTREV+G+F     | 20              | -12505.7        | 25053.4          | 25051.5         | 25134.1        
HIVW+I+G+F      | 21              | -12512.6        | 25069.3          | 25067.2         | 25153.9        
HIVW+G+F        | 20              | -12516.7        | 25075.3          | 25073.3         | 25156.0        
STMTREV+I+G     | 2               | -12580.9        | 25165.8          | 25165.8         | 25174.0        
STMTREV+G       | 1               | -12587.2        | 25176.3          | 25176.3         | 25180.4        
MTMAM+I+G       | 2               | -12590.1        | 25184.2          | 25184.2         | 25192.4        
MTMAM+G         | 1               | -12601.7        | 25205.3          | 25205.3         | 25209.4        
CPREV           | 0               | -12728.0        | 25456.0          | 25456.0         | 25456.0        
CPREV+F         | 19              | -12728.0        | 25495.8          | 25494.0         | 25572.5        
MTZOA           | 0               | -12792.2        | 25584.4          | 25584.4         | 25584.4        
MTZOA+F         | 19              | -12792.2        | 25624.1          | 25622.4         | 25700.9        
PMB             | 0               | -12855.4        | 25710.9          | 25710.9         | 25710.9        
LG              | 0               | -12858.5        | 25717.0          | 25717.0         | 25717.0        
PMB+F           | 19              | -12855.4        | 25750.6          | 25748.9         | 25827.4        
BLOSUM62        | 0               | -12877.1        | 25754.3          | 25754.3         | 25754.3        
LG+F            | 19              | -12858.5        | 25756.8          | 25755.0         | 25833.5        
BLOSUM62+F      | 19              | -12877.1        | 25794.0          | 25792.3         | 25870.7        
HIVW+I+G        | 2               | -12900.1        | 25804.3          | 25804.3         | 25812.5        
VT              | 0               | -12905.9        | 25811.9          | 25811.9         | 25811.9        
HIVW+G          | 1               | -12906.3        | 25814.6          | 25814.5         | 25818.7        
VT+F            | 19              | -12905.9        | 25851.6          | 25849.9         | 25928.4        
WAG             | 0               | -12941.7        | 25883.5          | 25883.5         | 25883.5        
WAG+F           | 19              | -12941.7        | 25923.2          | 25921.5         | 25999.9        
JTT             | 0               | -12970.5        | 25941.1          | 25941.1         | 25941.1        
JTTDCMUT        | 0               | -12974.3        | 25948.6          | 25948.6         | 25948.6        
MTART           | 0               | -12982.2        | 25964.5          | 25964.5         | 25964.5        
JTT+F           | 19              | -12970.5        | 25980.8          | 25979.1         | 26057.6        
JTTDCMUT+F      | 19              | -12974.3        | 25988.3          | 25986.6         | 26065.0        
MTART+F         | 19              | -12982.2        | 26004.2          | 26002.5         | 26081.0        
MTREV           | 0               | -13032.1        | 26064.2          | 26064.2         | 26064.2        
RTREV           | 0               | -13032.7        | 26065.3          | 26065.3         | 26065.3        
MTREV+F         | 19              | -13032.1        | 26103.9          | 26102.2         | 26180.7        
RTREV+F         | 19              | -13032.7        | 26105.0          | 26103.3         | 26181.8        
FLU             | 0               | -13096.5        | 26193.0          | 26193.0         | 26193.0        
FLU+F           | 19              | -13096.5        | 26232.7          | 26231.0         | 26309.5        
DCMUT           | 0               | -13182.9        | 26365.7          | 26365.7         | 26365.7        
DAYHOFF         | 0               | -13183.9        | 26367.9          | 26367.9         | 26367.9        
DCMUT+F         | 19              | -13182.9        | 26405.5          | 26403.7         | 26482.2        
DAYHOFF+F       | 19              | -13183.9        | 26407.6          | 26405.9         | 26484.4        
HIVB            | 0               | -13241.6        | 26483.1          | 26483.1         | 26483.1        
HIVB+F          | 19              | -13241.6        | 26522.9          | 26521.1         | 26599.6        
MTMAM           | 0               | -13445.8        | 26891.6          | 26891.6         | 26891.6        
MTMAM+F         | 19              | -13445.8        | 26931.3          | 26929.6         | 27008.1        
