method,pi,piN,piNpiS,piS,seqname,slice_start,slice_stop,type,piNorS,piNSsite
NG86,0.0,0.0,0.0,0.0,ND3,0,1,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,1,2,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,2,3,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,3,4,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,4,5,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,5,6,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,6,7,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,7,8,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,8,9,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,9,10,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,10,11,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,11,12,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,12,13,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,13,14,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,14,15,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,15,16,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,16,17,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,17,18,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,18,19,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,19,20,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,20,21,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,21,22,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,22,23,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,23,24,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,24,25,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,25,26,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,26,27,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,27,28,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,28,29,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,29,30,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,30,31,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,31,32,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,32,33,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,33,34,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,34,35,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,35,36,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,36,37,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,37,38,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,38,39,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,39,40,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,40,41,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,41,42,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,42,43,observed,,
NG86,0.14814814814814814,0.36620409622270317,0.0,0.0,ND3,43,44,observed,piN,43.0
NG86,0.0,0.0,0.0,0.0,ND3,44,45,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,45,46,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,46,47,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,47,48,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,48,49,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,49,50,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,50,51,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,51,52,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,52,53,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,53,54,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,54,55,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,55,56,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,56,57,observed,piS,56.0
NG86,0.0,0.0,0.0,0.0,ND3,57,58,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,58,59,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,59,60,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,60,61,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,61,62,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,62,63,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,63,64,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,64,65,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,65,66,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,66,67,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,67,68,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,68,69,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,69,70,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,70,71,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,71,72,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,72,73,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,73,74,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,74,75,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,75,76,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,76,77,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,77,78,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,78,79,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,79,80,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,80,81,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,81,82,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,82,83,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,83,84,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,84,85,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,85,86,observed,piS,85.0
NG86,0.0,0.0,0.0,0.0,ND3,86,87,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,87,88,observed,piS,87.0
NG86,0.0,0.0,0.0,0.0,ND3,88,89,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,89,90,observed,piS,89.0
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,90,91,observed,piS,90.0
NG86,0.0,0.0,0.0,0.0,ND3,91,92,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,92,93,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,93,94,observed,,
NG86,0.0,0.0,0.0,0.0,ND3,94,95,observed,,
NG86,0.14814814814814814,0.0,-0.0,-0.4444444444444444,ND3,95,96,observed,piS,95.0
NG86,0.0,0.0,0.0,0.0,ND3,96,97,observed,,
