Model selection results for subset: 521ca7e29a9e81e362352b3f17796048
Subset alignment stored here: ./analysis/phylofiles/521ca7e29a9e81e362352b3f17796048.phy
This subset contains the following data_blocks: CYTB, NAD1, ATP6
Number of columns in subset: 1514
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
LG+I+G+F        | 21              | -34035.8        | 68114.2          | 68113.5         | 68225.3        
LG+G+F          | 20              | -34039.2        | 68118.9          | 68118.3         | 68224.8        
MTZOA+I+G+F     | 21              | -34131.1        | 68304.7          | 68304.1         | 68415.9        
MTZOA+G+F       | 20              | -34136.8        | 68314.1          | 68313.5         | 68420.0        
JTTDCMUT+I+G+F  | 21              | -34153.4        | 68349.4          | 68348.8         | 68460.6        
JTT+I+G+F       | 21              | -34153.6        | 68349.9          | 68349.2         | 68461.0        
WAG+I+G+F       | 21              | -34158.5        | 68359.5          | 68358.9         | 68470.7        
JTTDCMUT+G+F    | 20              | -34161.0        | 68362.5          | 68361.9         | 68468.4        
JTT+G+F         | 20              | -34161.3        | 68363.2          | 68362.6         | 68469.1        
WAG+G+F         | 20              | -34163.8        | 68368.2          | 68367.7         | 68474.1        
CPREV+I+G+F     | 21              | -34171.2        | 68385.1          | 68384.5         | 68496.3        
CPREV+G+F       | 20              | -34179.3        | 68399.2          | 68398.7         | 68505.1        
VT+I+G+F        | 21              | -34213.8        | 68470.2          | 68469.5         | 68581.3        
VT+G+F          | 20              | -34218.8        | 68478.3          | 68477.7         | 68584.1        
RTREV+I+G+F     | 21              | -34289.9        | 68622.4          | 68621.8         | 68733.6        
RTREV+G+F       | 20              | -34293.8        | 68628.2          | 68627.6         | 68734.1        
MTZOA+I+G       | 2               | -34376.3        | 68756.6          | 68756.6         | 68767.3        
MTZOA+G         | 1               | -34382.4        | 68766.9          | 68766.9         | 68772.2        
DAYHOFF+I+G+F   | 21              | -34383.2        | 68809.0          | 68808.4         | 68920.2        
DCMUT+I+G+F     | 21              | -34385.8        | 68814.1          | 68813.5         | 68925.3        
DAYHOFF+G+F     | 20              | -34392.9        | 68826.4          | 68825.8         | 68932.2        
DCMUT+G+F       | 20              | -34395.5        | 68831.6          | 68831.0         | 68937.5        
BLOSUM62+I+G+F  | 21              | -34414.6        | 68871.9          | 68871.3         | 68983.0        
BLOSUM62+G+F    | 20              | -34419.9        | 68880.3          | 68879.8         | 68986.2        
PMB+I+G+F       | 21              | -34443.8        | 68930.2          | 68929.6         | 69041.4        
PMB+G+F         | 20              | -34449.0        | 68938.5          | 68937.9         | 69044.4        
