#COL_NUMBER,#RES_PAIR_COLUMN_SCORE
1,0.598333
2,0.490833
3,0.307750
4,0.215333
5,0.215333
6,0.216667
7,0.035000
8,0.221806
9,0.171818
10,0.137308
11,0.156232
12,0.158646
13,0.159146
14,0.582676
15,0.582331
16,0.563138
17,0.628160
18,0.629216
19,0.572465
20,0.571795
21,0.572848
22,0.572603
23,0.572948
24,0.572143
25,0.570862
26,0.569394
27,0.567357
28,0.582278
29,0.579675
30,0.147500
31,0.548750
32,0.547917
33,0.544583
34,0.330000
35,0.372262
36,0.372262
37,0.372738
38,0.355952
39,0.372381
40,0.387738
41,0.386548
42,0.391071
43,0.391071
44,0.391071
45,0.391071
46,0.391071
47,0.388167
48,0.427000
49,1.000000
50,0.698171
51,0.911353
52,0.910017
53,0.914692
54,0.915113
55,0.913589
56,0.912567
57,0.912796
58,0.873355
59,0.842056
60,0.809245
61,0.805455
62,0.690884
63,0.552285
64,0.552781
65,0.163324
66,0.163874
67,0.236806
73,0.304167
74,0.320833
75,0.347500
76,0.347500
77,0.240000
78,0.243333
82,0.243333
83,0.263333
84,0.263333
85,0.180833
86,0.186500
87,0.186500
88,0.193000
89,0.450174
90,0.479306
91,0.466186
92,0.454141
93,0.457556
94,0.458680
95,0.461799
96,0.525611
97,0.506779
98,0.507072
99,0.475381
100,0.470266
101,0.480525
102,0.478157
103,0.475096
105,0.821119
106,0.701728
107,0.704339
108,0.705436
109,0.729272
110,0.735747
111,0.786285
112,0.846885
113,0.808700
114,1.000000
115,0.232357
117,0.255595
118,0.323482
119,0.343214
120,0.368393
121,0.712778
122,0.725786
123,0.739602
124,0.752682
125,0.770660
126,0.768770
127,0.855869
128,0.818293
129,0.925526
130,0.929906
131,0.931436
132,0.916494
133,0.912804
135,0.820895
136,0.837889
137,0.845558
138,0.847610
139,0.937751
140,0.881135
141,0.902122
142,0.903956
143,0.915098
144,0.917450
145,0.932774
146,0.939877
147,0.941876
148,0.969549
149,0.983667
150,0.996753
151,0.996912
152,0.999196
153,0.999519
154,0.999677
155,0.999677
156,0.999677
157,0.999677
158,0.999677
159,0.999677
160,0.999677
