Model selection results for subset: 909521b89ab94c500609b0d7e152b97a
Subset alignment stored here: ./analysis/phylofiles/909521b89ab94c500609b0d7e152b97a.phy
This subset contains the following data_blocks: ATP8, NAD2, NAD6
Number of columns in subset: 1506
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
JTT+I+G+F       | 21              | -40334.6        | 80711.9          | 80711.2         | 80822.9        
JTT+G+F         | 20              | -40339.4        | 80719.3          | 80718.7         | 80825.0        
JTTDCMUT+I+G+F  | 21              | -40344.6        | 80731.7          | 80731.1         | 80842.8        
JTTDCMUT+G+F    | 20              | -40349.3        | 80739.1          | 80738.5         | 80844.9        
VT+I+G+F        | 21              | -40430.6        | 80903.9          | 80903.3         | 81014.9        
VT+G+F          | 20              | -40435.6        | 80911.7          | 80911.2         | 81017.5        
WAG+I+G+F       | 21              | -40456.0        | 80954.7          | 80954.1         | 81065.7        
WAG+G+F         | 20              | -40462.4        | 80965.4          | 80964.9         | 81071.2        
CPREV+I+G+F     | 21              | -40487.0        | 81016.5          | 81015.9         | 81127.6        
CPREV+G+F       | 20              | -40489.5        | 81019.5          | 81019.0         | 81125.3        
LG+I+G+F        | 21              | -40491.4        | 81025.4          | 81024.7         | 81136.4        
LG+G+F          | 20              | -40496.4        | 81033.4          | 81032.8         | 81139.1        
DAYHOFF+I+G+F   | 21              | -40647.0        | 81336.6          | 81336.0         | 81447.7        
DCMUT+I+G+F     | 21              | -40648.5        | 81339.6          | 81339.0         | 81450.7        
DAYHOFF+G+F     | 20              | -40652.0        | 81344.6          | 81344.0         | 81450.4        
DCMUT+G+F       | 20              | -40653.5        | 81347.6          | 81347.0         | 81453.3        
PMB+I+G+F       | 21              | -40708.0        | 81458.7          | 81458.1         | 81569.7        
BLOSUM62+I+G+F  | 21              | -40708.3        | 81459.2          | 81458.6         | 81570.3        
BLOSUM62+G+F    | 20              | -40714.5        | 81469.5          | 81469.0         | 81575.3        
PMB+G+F         | 20              | -40714.8        | 81470.2          | 81469.6         | 81576.0        
RTREV+I+G+F     | 21              | -40736.0        | 81514.6          | 81514.0         | 81625.6        
HIVB+I+G+F      | 21              | -40738.2        | 81518.9          | 81518.3         | 81630.0        
MTZOA+I+G+F     | 21              | -40738.4        | 81519.5          | 81518.9         | 81630.5        
MTZOA+G+F       | 20              | -40740.2        | 81520.9          | 81520.4         | 81626.7        
RTREV+G+F       | 20              | -40741.3        | 81523.2          | 81522.6         | 81629.0        
HIVB+G+F        | 20              | -40742.9        | 81526.4          | 81525.9         | 81632.2        
FLU+I+G+F       | 21              | -40807.6        | 81657.8          | 81657.2         | 81768.8        
FLU+G+F         | 20              | -40817.3        | 81675.2          | 81674.6         | 81780.9        
CPREV+I+G       | 2               | -40847.0        | 81698.0          | 81698.0         | 81708.6        
CPREV+G         | 1               | -40849.8        | 81701.7          | 81701.7         | 81707.0        
MTREV+I+G+F     | 21              | -40873.3        | 81789.1          | 81788.5         | 81900.2        
MTREV+G+F       | 20              | -40883.1        | 81806.8          | 81806.3         | 81912.6        
LG+I+G          | 2               | -41111.7        | 82227.4          | 82227.4         | 82238.0        
LG+G            | 1               | -41113.3        | 82228.5          | 82228.5         | 82233.8        
MTZOA+I+G       | 2               | -41117.3        | 82238.6          | 82238.6         | 82249.2        
MTZOA+G         | 1               | -41118.5        | 82239.0          | 82239.0         | 82244.3        
VT+I+G          | 2               | -41128.9        | 82261.7          | 82261.7         | 82272.4        
VT+G            | 1               | -41130.7        | 82263.3          | 82263.3         | 82268.6        
JTT+I+G         | 2               | -41170.2        | 82344.4          | 82344.4         | 82355.1        
JTT+G           | 1               | -41171.8        | 82345.6          | 82345.6         | 82351.0        
MTART+I+G+F     | 21              | -41163.5        | 82369.6          | 82369.0         | 82480.6        
MTART+G+F       | 20              | -41166.4        | 82373.4          | 82372.8         | 82479.2        
JTTDCMUT+I+G    | 2               | -41192.2        | 82388.4          | 82388.4         | 82399.1        
JTTDCMUT+G      | 1               | -41193.7        | 82389.3          | 82389.3         | 82394.6        
STMTREV+I+G+F   | 21              | -41174.2        | 82391.1          | 82390.4         | 82502.1        
STMTREV+G+F     | 20              | -41186.3        | 82413.2          | 82412.7         | 82519.0        
PMB+I+G         | 2               | -41233.4        | 82470.8          | 82470.8         | 82481.4        
PMB+G           | 1               | -41236.2        | 82474.5          | 82474.5         | 82479.8        
FLU+I+G         | 2               | -41245.8        | 82495.7          | 82495.7         | 82506.3        
FLU+G           | 1               | -41251.0        | 82504.0          | 82504.0         | 82509.3        
BLOSUM62+I+G    | 2               | -41301.3        | 82606.6          | 82606.6         | 82617.2        
BLOSUM62+G      | 1               | -41304.0        | 82609.9          | 82609.9         | 82615.2        
HIVW+I+G+F      | 21              | -41330.4        | 82703.4          | 82702.8         | 82814.5        
HIVW+G+F        | 20              | -41334.4        | 82709.4          | 82708.8         | 82815.2        
WAG+I+G         | 2               | -41357.0        | 82718.1          | 82718.1         | 82728.7        
WAG+G           | 1               | -41359.1        | 82720.2          | 82720.2         | 82725.5        
LG4M+G          | 1               | -41399.9        | 82801.8          | 82801.8         | 82807.1        
HIVB+I+G        | 2               | -41427.4        | 82858.7          | 82858.7         | 82869.4        
HIVB+G          | 1               | -41430.2        | 82862.3          | 82862.3         | 82867.7        
LG4X            | 6               | -41426.6        | 82865.4          | 82865.3         | 82897.2        
MTMAM+I+G+F     | 21              | -41441.9        | 82926.5          | 82925.9         | 83037.5        
MTMAM+G+F       | 20              | -41448.9        | 82938.4          | 82937.8         | 83044.1        
MTART+I+G       | 2               | -41515.7        | 83035.4          | 83035.4         | 83046.1        
MTART+G         | 1               | -41517.7        | 83037.5          | 83037.5         | 83042.8        
RTREV+I+G       | 2               | -41614.6        | 83233.2          | 83233.2         | 83243.8        
RTREV+G         | 1               | -41618.0        | 83237.9          | 83237.9         | 83243.2        
STMTREV+I+G     | 2               | -41651.8        | 83307.7          | 83307.7         | 83318.3        
STMTREV+G       | 1               | -41662.4        | 83326.8          | 83326.8         | 83332.1        
MTREV+I+G       | 2               | -41670.8        | 83345.6          | 83345.6         | 83356.2        
MTREV+G         | 1               | -41679.2        | 83360.4          | 83360.4         | 83365.7        
DAYHOFF+I+G     | 2               | -41924.9        | 83853.8          | 83853.8         | 83864.5        
DCMUT+I+G       | 2               | -41925.0        | 83854.1          | 83854.1         | 83864.7        
DAYHOFF+G       | 1               | -41926.5        | 83854.9          | 83854.9         | 83860.2        
DCMUT+G         | 1               | -41926.6        | 83855.2          | 83855.2         | 83860.5        
MTMAM+I+G       | 2               | -42188.7        | 84381.4          | 84381.4         | 84392.0        
MTMAM+G         | 1               | -42195.3        | 84392.6          | 84392.6         | 84397.9        
HIVW+I+G        | 2               | -42230.9        | 84465.7          | 84465.7         | 84476.4        
HIVW+G          | 1               | -42236.0        | 84474.1          | 84474.1         | 84479.4        
CPREV           | 0               | -42528.7        | 85057.4          | 85057.4         | 85057.4        
CPREV+F         | 19              | -42528.7        | 85095.9          | 85095.4         | 85196.5        
VT              | 0               | -42771.9        | 85543.8          | 85543.8         | 85543.8        
VT+F            | 19              | -42771.9        | 85582.3          | 85581.8         | 85682.8        
PMB             | 0               | -42865.6        | 85731.2          | 85731.2         | 85731.2        
PMB+F           | 19              | -42865.6        | 85769.7          | 85769.2         | 85870.2        
JTT             | 0               | -42963.7        | 85927.3          | 85927.3         | 85927.3        
BLOSUM62        | 0               | -42980.0        | 85959.9          | 85959.9         | 85959.9        
JTTDCMUT        | 0               | -42980.5        | 85961.0          | 85961.0         | 85961.0        
JTT+F           | 19              | -42963.7        | 85965.8          | 85965.3         | 86066.3        
BLOSUM62+F      | 19              | -42980.0        | 85998.4          | 85997.9         | 86099.0        
JTTDCMUT+F      | 19              | -42980.5        | 85999.5          | 85999.0         | 86100.0        
WAG             | 0               | -43062.5        | 86125.0          | 86125.0         | 86125.0        
WAG+F           | 19              | -43062.5        | 86163.5          | 86163.0         | 86264.0        
