#analysis: Bf201606
#Total bases:	13339
#Adenine:	3425 (25.7 %)
#Guanine:	1167 ( 8.7 %)
#Cytosine:	1164 ( 8.7 %)
#Thymine:	7583 (56.8 %)
#G+C content(in %):	17.5 %
#A+T content(in %):	82.5 %
#G+A content(in %):	34.4 %
#C+T content(in %):	65.6 %
#G+T content(in %):	65.6 %
#A+C content(in %):	34.4 %
#Average Peak of the spectrum :	0.00055449
Position	Peak
0	31.982076
20	35.231759
40	18.426800
60	22.874793
80	36.612466
100	27.235376
120	40.936753
140	48.748255
160	47.719492
180	53.142348
200	52.892892
220	56.048675
240	38.504557
260	56.373977
280	52.253207
300	51.309625
320	68.088919
340	71.714686
360	73.142721
380	51.582551
400	46.406663
420	35.390819
440	27.633904
460	34.207289
480	39.101535
500	34.429225
520	34.945843
540	51.623644
560	56.678186
580	40.348652
600	45.362913
620	38.202155
640	56.844609
660	47.069757
680	59.744797
700	56.587654
720	70.679631
740	73.937092
760	61.977808
780	56.701316
800	47.018158
820	44.370294
840	31.128646
860	44.610845
880	56.033705
900	42.404738
920	36.798278
940	40.177789
960	28.691914
980	29.389155
1000	35.900535
1020	34.170079
1040	25.292895
1060	30.150170
1080	30.226504
1100	24.361616
1120	10.450104
1140	8.258243
1160	11.918753
1180	5.039773
1200	5.230924
1220	4.520786
1240	7.618777
1260	8.266767
1280	4.382416
1300	7.497697
1320	6.084022
1340	9.245398
1360	9.806485
1380	12.653376
1400	2.944799
1420	3.935876
1440	7.433335
1460	5.652176
1480	13.678749
1500	14.787388
1520	19.977242
1540	28.385342
1560	30.071292
1580	17.345664
1600	21.336229
1620	19.569675
1640	15.625515
1660	13.323327
1680	7.814288
1700	11.682263
1720	11.111180
1740	5.708152
1760	12.680878
1780	8.610015
1800	4.246512
1820	2.879483
1840	3.917728
1860	1.128947
1880	3.190001
1900	5.477304
1920	3.924415
1940	2.992150
1960	2.182816
1980	4.987190
2000	4.356458
2020	4.714086
2040	6.194598
2060	5.654430
2080	7.400656
2100	7.441734
2120	3.345745
2140	5.389144
2160	4.478734
2180	5.375508
2200	11.530749
2220	10.633248
2240	13.678179
2260	7.473759
2280	3.498401
2300	3.385089
2320	2.398829
2340	2.164669
2360	2.332307
2380	6.844689
2400	9.842508
2420	3.100112
2440	4.808823
2460	17.997573
2480	13.975447
2500	15.102993
2520	29.241607
2540	24.218618
2560	29.148749
2580	13.554137
2600	8.757245
2620	16.596799
2640	19.267167
2660	28.107245
2680	28.441711
2700	27.067040
2720	21.367506
2740	15.910240
2760	16.153090
2780	9.052344
2800	5.999899
2820	7.455468
2840	4.361824
2860	3.324851
2880	7.581019
2900	9.977348
2920	8.746096
2940	4.727836
2960	22.358178
2980	19.052692
3000	15.889047
3020	15.243530
3040	14.973751
3060	16.212366
3080	9.304895
3100	7.715381
3120	8.897387
3140	8.112014
3160	6.784392
3180	3.191042
3200	4.372684
3220	7.682471
3240	7.355870
3260	2.707518
3280	7.977882
3300	14.726565
3320	20.207215
3340	14.150431
3360	17.604895
3380	10.172070
3400	18.707882
3420	18.000970
3440	23.614170
3460	15.304482
3480	8.079904
3500	10.423587
3520	6.766285
3540	12.930387
3560	10.584655
3580	14.933385
3600	7.971240
3620	7.051297
3640	3.241439
3660	6.787169
3680	10.727282
3700	13.636040
3720	11.084450
3740	9.091896
3760	8.048706
3780	15.777383
3800	9.355595
3820	11.191588
3840	5.220620
3860	7.568274
3880	3.149508
3900	2.894755
3920	3.916512
3940	3.406024
3960	1.169766
3980	2.138144
4000	4.445801
4020	2.633405
4040	2.459037
4060	7.008229
4080	3.808444
4100	10.777305
4120	14.221436
4140	16.856841
4160	11.219354
4180	12.498720
4200	6.993826
4220	8.069391
4240	12.042596
4260	15.835991
4280	21.476298
4300	26.104501
4320	17.474536
4340	19.971521
4360	33.983080
4380	21.007061
4400	11.964050
4420	5.432957
4440	19.106065
4460	19.090046
4480	17.330139
4500	30.970220
4520	17.583373
4540	22.242726
4560	17.414646
4580	22.739143
4600	12.782541
4620	17.072710
4640	13.813632
4660	16.261567
4680	17.159904
4700	28.548153
4720	17.359163
4740	9.434204
4760	17.553269
4780	23.114102
4800	29.228821
4820	17.836855
4840	24.866643
4860	32.560280
4880	26.855557
4900	17.864923
4920	17.827060
4940	18.487052
4960	19.485092
4980	16.919943
5000	21.809204
5020	22.777844
5040	27.017578
5060	16.364093
5080	21.152573
5100	19.055096
5120	20.065332
5140	11.361861
5160	11.635958
5180	12.326613
5200	20.001987
5220	14.046990
5240	9.627388
5260	17.413755
5280	14.979696
5300	7.597439
5320	6.563948
5340	14.579287
5360	14.738404
5380	9.588648
5400	7.832320
5420	4.577176
5440	6.591485
5460	6.804640
5480	6.307727
5500	5.219660
5520	8.098411
5540	5.880406
5560	6.616602
5580	12.277339
5600	3.514300
5620	5.993039
5640	20.526374
5660	29.573424
5680	25.606414
5700	23.217189
5720	16.536500
5740	16.190528
5760	25.544152
5780	19.756074
5800	17.777901
5820	21.323761
5840	23.386372
5860	14.739923
5880	19.902737
5900	24.187947
5920	19.661233
5940	16.318804
5960	12.602067
5980	14.486627
6000	23.336934
6020	18.838886
6040	9.684547
6060	15.086447
6080	11.563409
6100	12.809215
6120	13.538766
6140	13.838832
6160	19.914680
6180	20.841643
6200	23.006832
6220	20.496785
6240	16.649384
6260	20.285007
6280	17.561308
6300	19.095065
6320	24.367011
6340	28.084465
6360	35.458293
6380	35.729852
6400	32.390207
6420	26.678216
6440	31.796678
6460	32.179856
6480	30.036258
