Model selection results for subset: 499634d0ff3f966206e904eae678d20b
Subset alignment stored here: ./analysis/phylofiles/499634d0ff3f966206e904eae678d20b.phy
This subset contains the following data_blocks: NAD5
Number of columns in subset: 858
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
JTT+I+G+F       | 21              | -27734.8        | 55512.7          | 55511.6         | 55611.4        
JTT+G+F         | 20              | -27739.7        | 55520.3          | 55519.3         | 55614.4        
JTTDCMUT+I+G+F  | 21              | -27741.0        | 55525.2          | 55524.1         | 55623.9        
JTTDCMUT+G+F    | 20              | -27745.9        | 55532.7          | 55531.7         | 55626.8        
CPREV+I+G+F     | 21              | -27747.0        | 55537.1          | 55536.0         | 55635.9        
CPREV+G+F       | 20              | -27751.6        | 55544.2          | 55543.2         | 55638.2        
LG+I+G+F        | 21              | -27756.2        | 55555.4          | 55554.3         | 55654.2        
WAG+I+G+F       | 21              | -27756.5        | 55556.0          | 55554.9         | 55654.8        
VT+I+G+F        | 21              | -27759.4        | 55562.0          | 55560.9         | 55660.7        
LG+G+F          | 20              | -27760.6        | 55562.2          | 55561.2         | 55656.3        
WAG+G+F         | 20              | -27761.5        | 55563.9          | 55562.9         | 55658.0        
VT+G+F          | 20              | -27764.3        | 55569.6          | 55568.6         | 55663.7        
MTZOA+G+F       | 20              | -27905.0        | 55850.9          | 55849.9         | 55945.0        
MTZOA+I+G+F     | 21              | -27905.0        | 55853.0          | 55851.9         | 55951.8        
PMB+I+G+F       | 21              | -27918.6        | 55880.4          | 55879.3         | 55979.1        
PMB+G+F         | 20              | -27922.4        | 55885.8          | 55884.8         | 55979.9        
BLOSUM62+I+G+F  | 21              | -27930.2        | 55903.5          | 55902.4         | 56002.3        
BLOSUM62+G+F    | 20              | -27936.4        | 55913.8          | 55912.8         | 56007.9        
RTREV+I+G+F     | 21              | -27950.7        | 55944.4          | 55943.3         | 56043.2        
RTREV+G+F       | 20              | -27957.5        | 55956.0          | 55955.0         | 56050.1        
DCMUT+I+G+F     | 21              | -27988.3        | 56019.7          | 56018.6         | 56118.5        
DAYHOFF+I+G+F   | 21              | -27988.5        | 56020.0          | 56018.9         | 56118.8        
DCMUT+G+F       | 20              | -27995.9        | 56032.9          | 56031.9         | 56126.9        
DAYHOFF+G+F     | 20              | -27996.1        | 56033.1          | 56032.1         | 56127.2        
FLU+I+G+F       | 21              | -28015.5        | 56074.1          | 56072.9         | 56172.8        
FLU+G+F         | 20              | -28022.6        | 56086.2          | 56085.2         | 56180.3        
MTREV+G+F       | 20              | -28053.2        | 56147.5          | 56146.5         | 56241.6        
MTREV+I+G+F     | 21              | -28053.2        | 56149.6          | 56148.5         | 56248.3        
HIVB+I+G+F      | 21              | -28055.6        | 56154.4          | 56153.3         | 56253.1        
HIVB+G+F        | 20              | -28062.2        | 56165.5          | 56164.5         | 56259.6        
MTZOA+G         | 1               | -28175.5        | 56353.0          | 56353.0         | 56357.8        
MTZOA+I+G       | 2               | -28175.5        | 56355.0          | 56355.0         | 56364.5        
MTART+G+F       | 20              | -28188.7        | 56418.4          | 56417.4         | 56512.5        
MTART+I+G+F     | 21              | -28187.7        | 56418.4          | 56417.3         | 56517.2        
CPREV+I+G       | 2               | -28211.6        | 56427.3          | 56427.2         | 56436.7        
CPREV+G         | 1               | -28227.2        | 56456.3          | 56456.3         | 56461.1        
LG+I+G          | 2               | -28369.3        | 56742.6          | 56742.6         | 56752.1        
LG+G            | 1               | -28377.8        | 56757.7          | 56757.7         | 56762.4        
MTART+I+G       | 2               | -28430.2        | 56864.4          | 56864.4         | 56873.9        
MTART+G         | 1               | -28433.6        | 56869.2          | 56869.2         | 56874.0        
PMB+I+G         | 2               | -28480.5        | 56965.0          | 56965.0         | 56974.5        
VT+I+G          | 2               | -28480.7        | 56965.4          | 56965.4         | 56974.9        
PMB+G           | 1               | -28491.3        | 56984.7          | 56984.7         | 56989.4        
VT+G            | 1               | -28494.5        | 56991.1          | 56991.0         | 56995.8        
MTMAM+G+F       | 20              | -28483.4        | 57007.8          | 57006.8         | 57101.9        
MTMAM+I+G+F     | 21              | -28482.6        | 57008.4          | 57007.3         | 57107.1        
HIVW+I+G+F      | 21              | -28497.9        | 57038.9          | 57037.8         | 57137.7        
HIVW+G+F        | 20              | -28503.9        | 57048.8          | 57047.8         | 57142.9        
BLOSUM62+I+G    | 2               | -28524.7        | 57053.5          | 57053.5         | 57063.0        
JTT+I+G         | 2               | -28532.8        | 57069.6          | 57069.6         | 57079.1        
BLOSUM62+G      | 1               | -28536.0        | 57074.1          | 57074.1         | 57078.8        
JTT+G           | 1               | -28543.6        | 57089.1          | 57089.1         | 57093.9        
JTTDCMUT+I+G    | 2               | -28553.1        | 57110.3          | 57110.3         | 57119.8        
JTTDCMUT+G      | 1               | -28563.6        | 57129.1          | 57129.1         | 57133.9        
WAG+I+G         | 2               | -28599.3        | 57202.7          | 57202.7         | 57212.2        
STMTREV+I+G+F   | 21              | -28581.0        | 57205.2          | 57204.1         | 57303.9        
WAG+G           | 1               | -28616.8        | 57235.7          | 57235.7         | 57240.4        
FLU+I+G         | 2               | -28616.7        | 57237.4          | 57237.4         | 57246.9        
STMTREV+G+F     | 20              | -28598.3        | 57237.5          | 57236.5         | 57331.6        
FLU+G           | 1               | -28632.8        | 57267.7          | 57267.7         | 57272.4        
MTREV+G         | 1               | -28668.8        | 57339.6          | 57339.6         | 57344.3        
MTREV+I+G       | 2               | -28668.8        | 57341.6          | 57341.6         | 57351.1        
LG4X            | 6               | -28671.0        | 57354.0          | 57353.9         | 57382.4        
LG4M+G          | 1               | -28723.6        | 57449.2          | 57449.2         | 57454.0        
HIVB+I+G        | 2               | -28764.9        | 57533.8          | 57533.8         | 57543.3        
HIVB+G          | 1               | -28780.3        | 57562.5          | 57562.5         | 57567.3        
RTREV+I+G       | 2               | -28790.5        | 57584.9          | 57584.9         | 57594.4        
RTREV+G         | 1               | -28800.9        | 57603.8          | 57603.8         | 57608.5        
STMTREV+I+G     | 2               | -28839.3        | 57682.6          | 57682.6         | 57692.1        
STMTREV+G       | 1               | -28858.9        | 57719.7          | 57719.7         | 57724.5        
