#COL_NUMBER,#RES_PAIR_COLUMN_SCORE
6,1.000000
7,1.000000
8,1.000000
9,1.000000
10,0.766667
11,0.441667
12,0.470000
13,0.526000
14,0.724750
15,0.834696
16,0.822698
17,0.691937
18,0.660095
19,0.695842
27,0.799722
28,0.770873
29,0.995508
30,0.995878
31,0.996633
32,0.999245
33,0.914732
34,0.953333
35,0.953333
36,0.992721
37,0.992721
38,0.992721
39,0.992721
40,0.992721
41,0.990404
42,0.988361
43,0.988358
44,0.988358
45,0.983724
46,0.983724
47,0.982774
48,0.979644
49,0.979618
50,0.979451
51,0.979451
52,0.979451
53,0.978531
54,0.974026
55,0.962877
56,0.957780
57,0.903488
58,0.840120
59,0.765750
60,0.398714
61,0.602669
62,0.610854
63,0.637529
64,0.636552
65,0.663429
66,0.673854
67,0.676553
68,0.690291
69,0.693575
70,0.703526
71,0.704340
72,0.701684
73,0.707328
74,0.719861
75,0.738125
77,0.738686
78,0.763346
79,0.768690
80,0.774495
81,0.786171
82,0.796772
83,0.810333
84,0.818838
85,0.818558
86,0.819874
87,0.822011
88,0.821526
89,0.821074
90,0.820518
91,0.820518
92,0.815817
93,0.815008
94,0.824290
95,0.794855
96,0.794302
97,0.799157
98,0.799257
99,0.800762
100,0.798407
101,0.788648
102,0.788648
103,0.985947
104,0.988064
105,0.988791
106,0.992369
107,0.993103
108,0.996380
109,0.999074
110,0.985722
111,0.988006
112,0.988006
113,1.000000
114,1.000000
115,1.000000
116,1.000000
117,1.000000
118,1.000000
119,1.000000
120,1.000000
121,1.000000
122,1.000000
123,1.000000
124,1.000000
125,1.000000
126,1.000000
127,1.000000
128,0.979439
129,0.977155
130,1.000000
131,0.997321
132,0.997321
133,0.975893
134,0.965179
135,0.965179
136,0.965179
137,1.000000
138,1.000000
139,0.925902
140,0.822047
141,0.822041
142,0.822036
143,0.822002
144,0.925887
145,0.925887
146,1.000000
147,0.999259
148,0.999259
149,1.000000
150,1.000000
151,1.000000
152,1.000000
153,1.000000
154,0.991864
155,0.993804
156,0.993804
157,0.993804
158,0.994045
159,0.994981
160,1.000000
161,1.000000
162,1.000000
163,1.000000
164,1.000000
165,1.000000
166,1.000000
167,1.000000
168,1.000000
169,1.000000
170,1.000000
171,1.000000
172,1.000000
173,1.000000
174,1.000000
175,1.000000
176,1.000000
177,1.000000
178,1.000000
179,1.000000
180,1.000000
181,1.000000
182,0.997715
183,0.997715
184,0.997715
185,0.996425
186,0.996425
187,0.995135
188,0.995135
191,0.664000
192,0.726000
193,0.735000
194,0.645000
195,0.645000
196,0.645000
197,0.420000
198,0.420000
199,0.420000
202,0.346667
203,1.000000
204,1.000000
205,1.000000
206,1.000000
207,1.000000
208,0.994000
209,1.000000
210,1.000000
211,1.000000
212,1.000000
213,0.991000
214,0.976000
215,0.976000
216,0.940000
224,0.775556
225,0.481591
226,0.476136
227,0.474924
228,0.479470
229,0.996667
230,0.741000
231,0.751500
232,0.881500
233,0.956667
234,0.963333
235,0.970000
236,0.551000
237,0.551000
238,1.000000
239,1.000000
240,1.000000
241,0.828169
242,0.835950
243,0.883601
244,0.957006
245,0.952079
246,0.958903
247,0.978892
248,0.980779
249,0.865908
250,0.964178
251,0.988704
252,0.990989
253,0.995558
254,0.997620
255,1.000000
256,1.000000
257,1.000000
258,1.000000
259,1.000000
260,1.000000
261,1.000000
262,1.000000
263,1.000000
264,1.000000
265,1.000000
266,1.000000
267,1.000000
268,1.000000
269,1.000000
270,1.000000
271,1.000000
272,1.000000
273,1.000000
274,1.000000
275,1.000000
276,1.000000
277,1.000000
278,1.000000
279,1.000000
280,1.000000
281,1.000000
282,1.000000
283,1.000000
284,1.000000
285,1.000000
286,1.000000
287,1.000000
288,1.000000
289,1.000000
290,1.000000
291,1.000000
292,1.000000
293,1.000000
294,1.000000
295,1.000000
296,1.000000
297,1.000000
298,1.000000
299,1.000000
300,1.000000
301,1.000000
302,1.000000
303,0.997911
304,0.995103
305,0.992869
306,0.955633
307,1.000000
308,0.904356
309,0.906861
310,0.882651
311,0.789034
312,0.795695
313,0.826059
314,0.825466
317,0.345952
318,0.382321
319,0.385833
320,0.373333
322,0.904785
323,0.907632
324,0.908886
325,0.930216
326,0.935231
327,0.910426
328,0.911754
329,0.917775
330,0.917812
331,0.948893
332,0.995902
333,0.998871
334,0.999435
335,0.999435
336,0.999435
337,1.000000
338,1.000000
339,1.000000
340,1.000000
341,1.000000
342,1.000000
343,1.000000
344,1.000000
345,1.000000
346,1.000000
347,1.000000
348,1.000000
349,1.000000
350,1.000000
351,1.000000
352,1.000000
353,1.000000
354,0.997778
355,0.999630
356,0.999630
357,0.999630
358,1.000000
359,1.000000
362,0.775278
363,0.993929
364,0.993929
365,0.993929
366,0.938214
367,0.938214
368,0.933333
369,0.933333
370,1.000000
