Record	GapStart	GapLen
MG655624_Bf201311	4106	2
MG655624_Bf201311	4114	2
MG655624_Bf201311	4259	2
MG655624_Bf201311	8843	1
MG655624_Bf201311	10042	2
MG655623_Bf201606	4106	2
MG655623_Bf201606	4231	1
MG655623_Bf201606	4319	4
MG655623_Bf201606	7595	16
MG655623_Bf201606	8876	1
MG655623_Bf201606	8948	1
MG655623_Bf201606	9229	1
MG655623_Bf201606	10043	1
MG655622_Bf201706	4203	1
MG655622_Bf201706	4259	2
MG655622_Bf201706	8704	12
MG655622_Bf201706	8720	9
MG655622_Bf201706	8842	2
MG655622_Bf201706	8876	1
MG655622_Bf201706	9229	1
